id,headline,wins,losses,ties,comparisons,uncertainty
405,"Unsealed Records Detail Alleged Abuses, Accomplices of Jeffrey Epstein and Ghislaine Maxwell",1,0,0,1,1
406,2nd Trump Impeachment Trial Starts Tuesday,0,1,0,1,1
407,Romney and Trump Meet,0,0,1,1,1
408,Trump Considering Personal Pilot to Head FAA,0,1,0,1,1
409,"Links Between Cannabis, Illness Persist Despite Legalization Pushes",1,0,0,1,1
410,Russia Offered Afghan Militants Bounties to Kill U.S. Soldiers,1,0,0,1,1
411,Two Days Until,0,1,0,1,1
412,Senate GOP Unveils Police Reform Bill,0,1,0,1,1
413,World Leaders Pledge to Cut Methane Emissions by 30%,1,0,0,1,1
414,Perspectives: Israel-Hamas Ceasefire Begins,1,0,0,1,1
415,Romney in London,0,1,0,1,1
416,Alabama Amazon Workers Vote Against Unionizing,1,0,0,1,1
417,Congress Passes COVID-19 Relief Bill,0,0,1,1,1
418,April 2014 Jobs Report,0,1,0,1,1
419,Shake Shack Returns Small Business Loan,0,0,1,1,1
420,President Trump Withdraws from Iran Deal,0,1,0,1,1
421,Pentagon Says Russia Violated Airspace,0,0,1,1,1
422,Sticking Points in Nuclear Talks,0,0,1,1,1
423,Ohio 'Heartbeat Bill' Fails to Pass After Senate Falls One Vote Short of Overriding Kasich Veto,1,0,0,1,1
424,Jeb Cuts Campaign Budget,0,1,0,1,1
425,"Trump Admin Lifts Sanctions on Companies Tied to Russian Oligarch, Issues New Sanctions Over Election Interference",0,0,1,1,1
426,Nevada School Shooting,0,1,0,1,1
427,Punish Russia,1,0,0,1,1
428,House Leadership Clinches Budget Deal,0,0,1,1,1
429,President Trump Says He Discussed Joe Biden With The Ukrainian President,0,0,1,1,1
430,Perspectives: Should Voting be Mandatory?,0,0,1,1,1
431,NBC Issues Correction After Network Misquotes Trump on Robert E. Lee,0,1,0,1,1
432,Need-to-know Coronavirus Advice and Information,0,1,0,1,1
433,"'With or without congress,' Trump Will Secure Border Wall Mulvaney Says",1,0,0,1,1
434,Trump Foundation to Dissolve Amid Lawsuit From New York Attorney General,1,0,0,1,1
435,Senate Advances Farm Bill,0,1,0,1,1
436,"Jobless Claims Drop to Pandemic-Era Low of 498,000",0,1,0,1,1
437,Contrite White House defends Obamacare,1,0,0,1,1
438,"With Kharkiv Reclaimed, Is Ukraine Winning the War Against Russia?",1,0,0,1,1
441,"California's Theft Penalties, Bail Policies in Spotlight Amid Crime Wave",1,0,0,1,1
442,Controversial Labor Pick,0,1,0,1,1
443,The Truth about Pizzagate,0,1,0,1,1
444,Secret Service Siezes $286 Million in Stolen COVID Relief Funds,1,0,0,1,1
446,Trump Dominates Ahead of Super Tuesday,0,1,0,1,1
447,Democrats and Republicans Issue Warnings to White House Against Firing Mueller,1,0,0,1,1
449,Trump Pardons Arpaio,0,1,0,1,1
451,Trump Says He Will Not Fire Kellyanne Conway For Hatch Act Violations,1,0,0,1,1
452,New Deportation Push,1,0,0,1,1
453,Daughter of Putin Ally Killed in Car Bombing,0,1,0,1,1
454,"Biden Cancels $10,000 of Student Loans for Borrowers Earning Under $125,000",0,1,0,1,1
455,Justice Department Changing Legal Team On Census Case,0,1,0,1,1
456,Trump Holds Off on Wall Funding,1,0,0,1,1
457,Jobless Claims Topped 1 Million Last Week,0,1,0,1,1
458,Migrant Flights to Martha’s Vineyard: Inhumane Political Stunt or Justified Relocation to Sanctuary Cities?,1,0,0,1,1
459,Two NYPD Officers Murdered,1,0,0,1,1
460,"Shanahan Out, Esper Named Acting Secretary of Defense",0,0,1,1,1
461,Analysis of Affirmative Action Decision,1,0,0,1,1
462,World Leaders React To US-UK-Australia Nuclear Submarine Deal,0,0,1,1,1
463,Cheney on CIA Report,0,1,0,1,1
464,Perspectives: Cuban Protests,1,0,0,1,1
465,"Trump Sues House Jan. 6 Committee, National Archives to Block Records Request",1,0,0,1,1
467,Latest Election Polls,0,0,1,1,1
468,Primary Results From Arizona and Florida,0,1,0,1,1
469,Trump Administration is to Reinstate all Iran Sanctions,0,0,1,1,1
470,Poll: Most Mexicans want to deport unauthorized migrants,1,0,0,1,1
477,House Passes Resolution to Restrict Trump's War Powers,0,1,0,1,1
478,Feds Plan Sweep of Recent Immigrants,1,0,0,1,1
479,"Perspectives: Biden, Sanders Elevated as Dems' 2020 Frontrunners After Dropouts",1,0,0,1,1
482,Sessions Tapped as Attorney General,0,0,1,1,1
483,Trump Holds First Rally Since Mar-a-Lago Search,0,1,0,1,1
485,Joseph Maguire Named Head of National Intelligence,0,1,0,1,1
486,Trump Gets Jeers After Colorado Wall Comments,0,0,1,1,1
487,"Joe Rogan's Prior Use of N-Word Sparks More Criticism, Defenses of Free Speech",1,0,0,1,1
490,Pataki Enters Republican Field,0,1,0,1,1
491,Bastille Day Terror,1,0,0,1,1
492,Supreme Court Debates Gay Marriage,0,1,0,1,1
493,Republicans Shift and Debate Abortion Stances Ahead of 2022 Elections,1,0,0,1,1
494,California Truckers Block Oakland Port to Protest Labor Law,0,0,1,1,1
495,"Migrant Buses Arrive in Chicago, Expanding Abbott’s Immigration-Surge Response",0,1,0,1,1
497,Perspectives: Black Friday 2021,0,1,0,1,1
500,"VP Harris Discuss Southern Border, Threats to Democracy in MSNBC Interview",1,0,0,1,1
503,Paul Ryan Taking a Hit,0,0,1,1,1
506,FDA Endorses Moderna's COVID-19 Vaccine for Emergency Use,0,0,1,1,1
507,Talks Continue on Fiscal Crisis,1,0,0,1,1
508,Attorneys at Chauvin Trial to Make Final Pitch,0,1,0,1,1
509,"Dems and GOP Strike Short-Term Deal on Debt, but Larger Divide Remains",0,1,0,1,1
510,Michael Brown’s Family to Sue,1,0,0,1,1
514,White House to Develop COVID-19 'Vaccine Passports',0,1,0,1,1
515,Giuliani Race Comments,1,0,0,1,1
516,"Around the World, Inflation Worsens",0,0,1,1,1
517,DeSantis Signs Bill Ending Disney's Self-Governing District,0,1,0,1,1
528,Emails Linked Al Qaeda,1,0,0,1,1
529,Analysis of the December 2017 Jobs Report,0,1,0,1,1
530,Biden Reportedly Wrote Recommendation Letter for Son's Chinese Business Associate,1,0,0,1,1
536,Trump to Declare National Emergency for Border Wall,0,0,1,1,1
537,"Debate, Moderators Criticized for Apparent Media Bias",0,0,1,1,1
538,SCOTUS Dismisses Travel Ban Case,0,1,0,1,1
539,House Republicans Block Democrats' Attempt to Subpoena Trump-Putin Interpreter,1,0,0,1,1
540,Biden to Host Summit Countering Hate-Fueled Violence,1,0,0,1,1
541,"Proposed Education Budget Prompts Support, Questions",0,1,0,1,1
542,Big Tech CEOs Face Antitrust Hearing,0,1,0,1,1
543,Cuomo Resigns Amid Sexual Harassment Allegations,1,0,0,1,1
544,Momentum (or Not) for Trump,1,0,0,1,1
545,Susan Rice Email Adds Layer to Flynn Controversy,0,1,0,1,1
546,CNN Criticized Over Lanny Davis Story,1,0,0,1,1
547,Hurricane and Politics,0,1,0,1,1
548,Refugee Program Possible,0,0,1,1,1
549,Senate to Vote on Gun Bill Amendments,0,0,1,1,1
550,Flynn willing to testify,0,0,1,1,1
551,Mississippi Senate Primary Run-off,0,0,1,1,1
552,Perspectives: Obama's 60th Birthday Party,0,0,1,1,1
553,Supreme Court Justice Ruth Bader Ginsburg Dies at 87,0,0,1,1,1
554,Criticisms at Prayer Breakfast,0,1,0,1,1
555,Cuomo Releases Statement Amid Sexual Harassment Claims; NY Preps Probe,1,0,0,1,1
556,Trump’s War with Intel,1,0,0,1,1
557,Trump Responds to Samantha Bee Comment,0,1,0,1,1
558,Happy Thanksgiving,0,0,1,1,1
559,Obama Meets with Palestinian Leaders,0,0,1,1,1
560,Israeli Ground Forces Attack Gaza Strip,1,0,0,1,1
561,Russia Ramps Up Attacks on Key Ukrainian City,0,1,0,1,1
562,Stocks Rise,0,1,0,1,1
563,Senate Democrats Walk Out of Committee Meeting To Protest Kavanaugh Vote,1,0,0,1,1
564,Governor Jay Inslee (D-WA) Announces Bid For The Presidential Nomination,0,0,1,1,1
565,June 2013 Jobs Report,0,0,1,1,1
566,Trump Pulls Ahead,0,1,0,1,1
567,CNN Airs Recordings of Melania Trump Discussing Child Separation Criticism,1,0,0,1,1
568,Will Trump Return to Twitter if Elon Musk Reverses His Permanent Ban?,0,1,0,1,1
569,"Melania Trump Gives Rare Television Interview, Talks White House, Bullying, and #MeToo",1,0,0,1,1
570,"Hillary, Barack ""Hug it Out""",1,0,0,1,1
571,"Biden Unveils Coronavirus Plan, Warns It Will Take Time To See Improvement",0,1,0,1,1
572,Being at a Budget Impasse,0,1,0,1,1
573,Paul Manafort Found Guilty on Eight Counts of Bank and Tax Fraud,1,0,0,1,1
574,The Coronavirus Pandemic and Voting by Mail,0,0,1,1,1
575,White House Gun Control Campaign,0,0,1,1,1
576,Obama Speech on Terror,1,0,0,1,1
577,Does Netanyahu Support Palestinian State?,0,1,0,1,1
578,President Trump Holds Christmas Eve Teleconference with Troops Overseas,0,0,1,1,1
579,Congressman Eric Swalwell Of California Is Running For President,0,0,1,1,1
580,Democrat Doug Jones Captures Alabama Seat,0,1,0,1,1
581,NAFTA Safe for Now,1,0,0,1,1
582,Cotton Defends Remarks on Slavery,1,0,0,1,1
583,Stampede in Shanghai,0,1,0,1,1
584,Tillerson’s Turn,0,1,0,1,1
585,"Daily New U.S. COVID-19 Cases Dip Below 100,000, Health Officials Say It's 'Too Soon' To Ease Restrictions",1,0,0,1,1
586,Senate Takes on Russian Hacking,1,0,0,1,1
587,Immigration Reform Strategies,0,1,0,1,1
588,Uneasy Alliances Between Russia and the US,1,0,0,1,1
589,Boehner and the Debt Ceiling Vote,0,1,0,1,1
590,Paris Terror Raid,0,1,0,1,1
591,Were This Year's Presidential Election Polls Right or Wrong?,1,0,0,1,1
592,Abbott Considers Challenging Right to Education for Children of Unauthorized Migrants,1,0,0,1,1
593,North Korea Launches Rocket,0,1,0,1,1
594,Miranda Rights for Boston Bomber,0,1,0,1,1
595,Market Meltdown at Opening Bell,1,0,0,1,1
596,Trump Says Antifa Will Be Designated a Terrorist Organization,1,0,0,1,1
597,Perspectives: School District Accused of Covering Up Sexual Assault by Gender-Fluid Student,0,1,0,1,1
598,Russian Court Extends Brittney Griner’s Detention Until May,0,1,0,1,1
599,Mueller Files New Charges Against Paul Manafort and Rick Gates,1,0,0,1,1
600,Gallup Names Donald Trump and Michelle Obama as 2020's Most Admired Man and Woman,1,0,0,1,1
601,Haitian President Jovenel Moise Assassinated at Home,0,1,0,1,1
602,Senate Budget Plan,0,1,0,1,1
603,Justice Department Asks Dozens of Trump-appointed Attorneys to Resign,1,0,0,1,1
604,Remaking the Presidency with Trump Cabinet,1,0,0,1,1
605,Election 2016 Reactions,0,1,0,1,1
606,Iran To Break Limit On Uranium Stockpile,1,0,0,1,1
607,"Cuomo Administration Underreported COVID-19 Nursing Home Deaths, NY AG Report Says",0,1,0,1,1
608,Trump Admin Creates Conscience and Religious Freedom Office,0,1,0,1,1
609,Polls Show Netanyahu Down,1,0,0,1,1
610,Perspectives: Bipartisanship in Biden's First 100 Days,1,0,0,1,1
611,Romney/Ryan Polls,0,1,0,1,1
612,Republicans Pessimistic About Immigration,1,0,0,1,1
613,Do Recent Democratic Wins Cast Doubt on GOP's Midterm Prospects?,0,1,0,1,1
614,The Final Stretch,1,0,0,1,1
615,Trump Taps Christopher Wray to Head FBI,0,1,0,1,1
616,"As Summer Winds Down, Vaccine Speculation Heats Up",0,1,0,1,1
617,"North Korea Fires Pair of Short-Range Missiles, Twice in a Week",1,0,0,1,1
618,Highlights from DNC Night 1,0,1,0,1,1
619,What is the Media Saying About Biden’s New Student Loan Forgiveness Plan?,1,0,0,1,1
620,Trump Speaks in Poland,0,1,0,1,1
621,New York Attorney General Eric Schneiderman Resigns Amid Reports of Assault,1,0,0,1,1
622,Delegate Hunt in N. Dakota,1,0,0,1,1
623,Immigration Debate Continues in the Senate,0,1,0,1,1
624,Bannon is Out,0,1,0,1,1
625,"Putin-Linked Businessman Says ""We are Interfering"" in US Elections",1,0,0,1,1
626,Analysis of Detroit GOP Debate,0,1,0,1,1
627,"Sec. of Transportation Elaine Chao Has Yet to Divest Shares, as She Had Promised to do",1,0,0,1,1
628,Actor Jussie Smollett Is Arrested Over False Attack Report,1,0,0,1,1
629,ABC Anchor Amy Robach Says Network Suppressed Jeffrey Epstein Reporting,0,1,0,1,1
630,Federal Judge Allows Lawsuit Against President Trump's Business Interests to Move Forward,1,0,0,1,1
631,Political Impact of Hurricane Sandy,0,1,0,1,1
632,Perspectives: Transgender Op-Ed Piece Fuels Partisan Divide Over Gender Issues,1,0,0,1,1
633,S. Africa COVID-19 Variant Detected In US; Vaccine Manufacturers Test Effectiveness Against It,0,1,0,1,1
634,Trump Team Sues Capital One And Deutsche Bank Over Democrat Subpoenas,1,0,0,1,1
635,October 2015 Jobs Report,0,1,0,1,1
636,Time Magazine names its Person of the Year,0,1,0,1,1
637,New Benghazi Hearings,1,0,0,1,1
638,Castro Tapped for HUD,0,1,0,1,1
639,Jan. 6 Hearing Highlights Trump’s Pressure on State Officials,1,0,0,1,1
640,2020 Census Results Show Big Changes to America's Racial and Ethnic Makeup,1,0,0,1,1
641,Obama Immigration Proposal,0,1,0,1,1
642,Biden Administration to Prepare Infrastructure Package Up to $3 Trillion,0,1,0,1,1
643,"Pope Francis Changes Catholic Church's Official Stance on Death Penalty, Declaring it 'Inadmissible' in All Cases",1,0,0,1,1
644,GOP Plan Against Trump,1,0,0,1,1
645,"Vaccines Credited as New COVID-19 Cases, Deaths Decline",0,1,0,1,1
646,Supreme Court Religious Cases,0,1,0,1,1
647,House Impeachment Managers Emphasize Danger to Top Officials,1,0,0,1,1
648,Guyger Found Guilty of Murder,0,1,0,1,1
649,Trump Under Pressure to Lift Jones Act,1,0,0,1,1
650,Obama Paris Press Conference,0,1,0,1,1
651,"Fauci, Paul Debate Over NIH Funding of Wuhan Lab",1,0,0,1,1
652,Special Counsel Appointed,0,0,1,1,1
653,Deal Reached in the Ukraine,0,0,1,1,1
654,How Coronavirus Will Alter 2020 Election for Top Candidates,0,0,1,1,1
655,Florida Recounts Continue,0,0,1,1,1
656,Perspectives: “Voter Suppression” or “Election Integrity”?,1,0,0,1,1
657,Comey Memos on Trump Meetings Published,0,1,0,1,1
658,White House Legal Team Shake Up,0,1,0,1,1
659,"San Francisco Officials Declare NRA a ""Domestic Terrorist Organization""",1,0,0,1,1
660,"29% Of Humanity Was ‘Moderately’ or ‘Severely’ Food Insecure in 2021, UN Says",1,0,0,1,1
661,"Economy Grew at Robust 3.5% in Third Quarter, But Business Spending Slowed",0,1,0,1,1
662,Texas Abortion Bill Passes,0,1,0,1,1
663,Senate Healthcare Debacle,1,0,0,1,1
664,"Amid Coronavirus Pandemic, Good News is Still Available",1,0,0,1,1
665,Potential Default Nears,0,1,0,1,1
666,Election Day 2013,0,1,0,1,1
667,"Fauci Is 'Confident' Omicron Cases Will Peak By February, Infections Trending In 'Right Direction'",1,0,0,1,1
668,British PM Boris Johnson Remains In Intensive Care,0,1,0,1,1
669,"Biden Considers Paying $450,000 To Family Members Separated At Southern Border",1,0,0,1,1
670,Trump Holds Town Hall with Undecided Voters; Media Coverage Differs,1,0,0,1,1
671,"US Jobless Claims Dip to 385,000",0,1,0,1,1
672,"Ex VA Gov.,Wife Guilty of Corruption",1,0,0,1,1
673,CNN's Jim Acosta and White House Press Secretary Sarah Sanders Clash,0,1,0,1,1
674,Russia and Ukraine Meet for Talks,0,0,1,1,1
675,Financial Regulations Order,0,0,1,1,1
676,Romney VP,0,1,0,1,1
677,US Sending Advanced Rocket Systems to Ukraine,1,0,0,1,1
678,NY District Judge Says He'll Dismiss Sarah Palin Libel Lawsuit,1,0,0,1,1
679,Possible Sighting of Prison Escapees,0,1,0,1,1
680,Blast at Texas Fertilizer Plant,1,0,0,1,1
681,Trump Encourages Voting by Mail in Florida,0,1,0,1,1
682,Positive Looks at 2020,0,1,0,1,1
683,Florida Schools Roll Out New LGBTQ+ Policies as Parental Rights in Education Bill Takes Effect,1,0,0,1,1
684,Overtures on Debt Negotiations,0,1,0,1,1
685,Netflix Announces Deal With Obamas,1,0,0,1,1
686,Defense Considers Appeal for Derek Chauvin,0,1,0,1,1
687,Navy Captain Dismissed After Coronavirus Complaint,1,0,0,1,1
688,"Senate Democrats Raise Concerns Over FBI's Handling of 4,500 Kavanaugh Tips",1,0,0,1,1
689,Roy Moore Wins in Alabama,0,1,0,1,1
690,Trump Lawyers Seek to Halt Book Release,1,0,0,1,1
691,Prepping for the 1st Debate,0,1,0,1,1
692,New Conservative Views on Immigration,0,1,0,1,1
693,Ukraine Forces Withdraw,1,0,0,1,1
694,Two Benghazi Parents Sue Hillary Clinton,1,0,0,1,1
695,Wall Street Trade Temporarily Halted as S&P Drops 7% at Opening,0,1,0,1,1
696,Rep. Al Green Files Impeachment Articles,0,1,0,1,1
697,Massive Manhunt for Belgium Bombers,1,0,0,1,1
698,Hillary Officially Running in 2016,0,0,1,1,1
699,Rice Resigns from Consideration,0,0,1,1,1
700,Trade War Slows as Wall Street Recovers,0,1,0,1,1
701,Clinton or Sanders?,1,0,0,1,1
702,’Fake News’ Award Winners are Revealed,0,1,0,1,1
703,Virginia Governor Refuses to Resign After Racist Photo,1,0,0,1,1
704,Protests in St. Louis,0,1,0,1,1
705,Representative Katie Hill (D-CA) Resigns Amid Allegations Of Staffer Relationship,1,0,0,1,1
706,"Police Killing of Ma’Khia Bryant, Who Attacked 2 With Knife, Sparks Outcry, Media Criticism",1,0,0,1,1
707,Republican Field Grows,0,1,0,1,1
708,Trump Accuses FBI and DOJ of Political Bias,1,0,0,1,1
709,Average US Gas Prices Hit All-time High,0,1,0,1,1
710,Perspectives: Should Vaccinated People Mask Up Again?,1,0,0,1,1
711,"U.S. Deficit, Nearing $1 Trillion, Reaches Seven-Year High",0,1,0,1,1
712,Violence and Looting Escalate as Protests Over George Floyd Death Continue,1,0,0,1,1
713,Jeb Says “Stuff Happens”,0,1,0,1,1
714,Deal Reached on Trade Pact,0,1,0,1,1
715,Trump Disbands Business Councils,1,0,0,1,1
716,ViacomCBS Fires Nick Cannon for Anti-Semitic Comments,0,1,0,1,1
717,US Prepares for Syria Strike,1,0,0,1,1
718,Sessions Rescinds Obama-era Marijuana Rules,0,1,0,1,1
719,Warrant Issued For Ousted Ukraine Leader,1,0,0,1,1
720,"As Nuclear Talks Resume, Iran's Top Negotiator Moves to Start With Clean Slate",0,1,0,1,1
721,Trump Slams His Ex-Attorney Over Leaked Conversation,1,0,0,1,1
722,School Surveillance Footage Shows Police Response to Uvalde Shooting,0,1,0,1,1
723,Taliban Use Violence in Response to Protests and Dissent,1,0,0,1,1
724,Obama to Announce SCOTUS Pick,0,1,0,1,1
725,Trump Immigration Comments,1,0,0,1,1
726,Gavin Newsom Recall Effort Reaches Enough Signatures to Qualify for Ballot,1,0,0,1,1
727,Fact Checking the Debate,0,1,0,1,1
728,Perspectives: Americans Remain Split On Severity Of China-Russia Alliance,1,0,0,1,1
729,Federal Judge Orders Georgia Review All Provisional Ballots,0,1,0,1,1
730,GOP Head Into Midterms,0,0,1,1,1
731,Hong Kong Leader Withdraws Extradition Bill,0,0,1,1,1
732,Are Building Standards Too Restrictive?,1,0,0,1,1
733,Chicago Teachers Strike,0,1,0,1,1
734,"Woodward, Sperling Emails Revealed",0,1,0,1,1
735,Fighting Continues in Syria Despite Cease-fire,1,0,0,1,1
736,Flynn Under Investigation for Plan to Kidnap Turkish Dissident,0,1,0,1,1
737,Gay Marriage Ruling Fallout,1,0,0,1,1
738,Protestors Set Minneapolis Police Station on Fire; Officers Flee,1,0,0,1,1
739,Dems Lose Louisiana Seat,0,1,0,1,1
740,Sydney Hostage Crisis,0,0,1,1,1
741,ICE to Start Raids on Sunday,0,0,1,1,1
742,U.S. House Committee Advances D.C. Statehood Bill,0,1,0,1,1
743,Trump Criticizes Democratic Agenda in CPAC Speech,1,0,0,1,1
744,Rabbi Speaks Out After Synagogue Shooting In San Diego,0,0,1,1,1
745,Hurricane Laura Brings Tornado Threat after Louisiana Landfall,0,0,1,1,1
746,Controversy Mounts Over Trump's Cancellation of Brennan's Security Clearance,1,0,0,1,1
747,Military Tensions Flare Between China and Taiwan,1,0,0,1,1
748,House GOP options to avoid shutdown,0,1,0,1,1
749,Obama Downplays Snowden Case,1,0,0,1,1
750,White House Staffing Changes,0,1,0,1,1
751,"Virus Cases Surge in Some States, Forcing Reversals",1,0,0,1,1
752,GA Election Heads to Runoff,0,1,0,1,1
753,President Trump Officially Discloses Reimbursing Michael Cohen for Stormy Daniels Payment,1,0,0,1,1
754,G-7 Leaders Commit to Donate 1 Billion Vaccine Doses to Other Countries,0,1,0,1,1
755,"US, China Sign 'Phase One' Trade Deal",0,1,0,1,1
756,New York Sues National Rifle Association For Corruption,1,0,0,1,1
757,Post Convention,0,1,0,1,1
758,Perspectives: Violence Escalates Between Hamas and Israel,1,0,0,1,1
759,Perspectives: Military Leaders' Testimony on Afghanistan Withdrawal Contradicts Biden,1,0,0,1,1
760,Supreme Court Gay Marriage Hearings,0,1,0,1,1
761,Senate Holds Biden Cabinet Confirmation Hearings,1,0,0,1,1
762,Tonight’s Address to Congress,0,1,0,1,1
763,Perspectives: Black Friday in a Pandemic,1,0,0,1,1
764,Trump-Backed Candidate Wins Maryland GOP Gubernatorial Primary,0,1,0,1,1
765,"Biden Administration Orders ICE, CBP to Stop Using Terms 'Alien,' 'Illegal'",1,0,0,1,1
766,How Will Elon Musk Change Twitter and Online Free Speech?,0,1,0,1,1
767,Germany Puts New Restrictions on the Unvaccinated,0,0,1,1,1
768,The States Poised to Restrict or Outlaw Abortion,0,0,1,1,1
769,EPA Finalizes Tighter Fuel Emissions Standards for 2026,0,1,0,1,1
770,Poll Controversy,1,0,0,1,1
771,Obama Proposes Grand Bargain For Jobs,0,1,0,1,1
772,May Jobs Report Sparks Debate on Who Deserves Credit for Strong Economy,1,0,0,1,1
773,How Are Big Tech Companies Responding to Incoming Abortion Restrictions?,1,0,0,1,1
774,Apple Unveils New Products,0,1,0,1,1
775,"Contradictory Data Fuels Split Narratives on Economy, Inflation",0,1,0,1,1
776,"Fed Suggests More Rate Hikes, Economic 'Pain' as Inflation Fight Continues",1,0,0,1,1
777,DC Mayor Requested Federal Assistance for Bussed Texas Migrants,1,0,0,1,1
778,Perspectives: Biden’s First Press Conference,0,1,0,1,1
779,Polarized on Gun Sit-in,0,1,0,1,1
780,"RNC Censures Cheney, Kinzinger for Working With Jan. 6 Panel",1,0,0,1,1
781,Biden Seeks to Boost US Solar Industry Amid Probe of Potential Chinese Trade Violations,1,0,0,1,1
782,Democrats and Republicans Still Split on Coronavirus Stimulus Deal as Cases Rise,0,1,0,1,1
783,South Africa Feels 'Punished' For Detecting Omicron Variant,1,0,0,1,1
784,SCOTUS Vacancy Impacts Senate Races,0,1,0,1,1
785,US and EU Agree to End Dispute Over Aircraft Subsidies,0,1,0,1,1
786,What Caused 2021's Record-Setting Inflation?,1,0,0,1,1
787,Perspectives: Derek Chauvin Convicted of Murder,1,0,0,1,1
788,Leaked Pandora Papers Show Tax Havens for Rich and Famous,0,1,0,1,1
789,"New Trans Rights Laws in Idaho Highlight Cultural, Media Divide",1,0,0,1,1
790,Rush Limbaugh Breaks With Trump,0,1,0,1,1
791,Paying Tribute to Nelson Mandela,0,1,0,1,1
792,D-Day 70th Anniversary,1,0,0,1,1
793,Suspected Chinese Spy Targeted US Politicians Including Eric Swalwell,1,0,0,1,1
794,Federal Deficit Increases 32 Percent to $895 Billion,0,1,0,1,1
795,"US, Taiwan Agree to Talks on New Trade Deal Amid China Tensions",0,1,0,1,1
796,Mark Zuckerberg Arrives on Capitol Hill,1,0,0,1,1
797,Biden Appoints All-Women White House Press Team,1,0,0,1,1
798,Happy New Year 2019!,0,1,0,1,1
799,Jan. 6 Panel Reportedly Finds ‘Gaps’ in Trump White House Phone Records,0,1,0,1,1
800,"Excitement, Fear as States Begin to Reopen",1,0,0,1,1
801,Texas Debates Abortion,1,0,0,1,1
802,Fifth Jan. 6 Public Hearing Focuses on Justice Department,0,1,0,1,1
803,A Bernie/Trump Debate?,1,0,0,1,1
804,"Mikhail Gorbachev, Soviet Union's Last Leader, Dead at 91",0,1,0,1,1
805,Fundraisers Leave Jeb,0,1,0,1,1
806,Georgia Secretary of State's Office to Launch Probe Into Trump's Election Phone Calls,1,0,0,1,1
807,Preparing for Kavanaugh and Ford Testimony,0,1,0,1,1
808,Christie Suggests Social Security Changes,1,0,0,1,1
809,Sanders Says Clinton Not Qualified,1,0,0,1,1
810,Supreme Court Limits Civil Asset Forfeiture,0,1,0,1,1
811,FCC Commissioner Calls for Ban on TikTok Over Data Security Concerns,1,0,0,1,1
812,WHO Probe Says Theory That Pandemic Leaked from Chinese Lab is Unlikely,0,1,0,1,1
813,Kamala Harris's 'Equity' Remark About Hurricane Ian Aid Sparks Criticism,1,0,0,1,1
814,Sessions Vows to Fight Bias at DOJ,0,1,0,1,1
815,Perspectives: New NYC Mayor Eric Adams's Comments on 'Low-Skilled Workers',1,0,0,1,1
816,State-by-State Virus Management Under Watch as Reopenings Continue,0,1,0,1,1
817,Why are Democrats Boosting Pro-Trump Candidates in the 2022 Primaries?,1,0,0,1,1
818,New York Passes Law Expanding Abortion Rights,0,1,0,1,1
819,Trump Reacts to London Tube Attack,1,0,0,1,1
820,Biden Signs Executive Order on Climate Change,0,1,0,1,1
821,McCarthy Faces Partisan Fallout Over Leaked Jan. 6 Remarks,1,0,0,1,1
822,GOP Convention Bounce,0,1,0,1,1
823,Leaked Power Contract Shows Audit Restrictions,1,0,0,1,1
824,DC Manhunt Ends,0,1,0,1,1
825,Trump Won’t Endorse Ryan - Yet,1,0,0,1,1
826,Reactions to POTUS Address,0,1,0,1,1
827,Government Shutdown Begins,0,1,0,1,1
828,"CDC Updates Guidelines Again, Says COVID-19 Can Be Airborne",1,0,0,1,1
829,"Columbus Day, Indigenous Peoples Day, or Both?",1,0,0,1,1
830,Trump Weighs Rejoining Trans-Pacific Partnership,0,1,0,1,1
831,Trump Says He Misspoke on Russian Election Meddling,1,0,0,1,1
832,Trump’s Foreign Policy Speech,0,1,0,1,1
833,Trump Taps Rick Perry for Energy,1,0,0,1,1
834,'Howdy Modi' Event Draws President Trump,0,1,0,1,1
835,Bulk of Obamacare Likely Safe in New Supreme Court Case,1,0,0,1,1
836,Kamala Harris Discusses Her Approach to Immigration,0,1,0,1,1
837,UK Judge Denies Request to Extradite Julian Assange to the US,1,0,0,1,1
838,"Texas, Missouri Sue Biden, Attempt to Reinstate 'Remain In Mexico' Policy",0,1,0,1,1
839,"Biden Reportedly Nears Decision on $10,000 of Student Loan Forgiveness",1,0,0,1,1
840,White Nationalist March at UVA,0,1,0,1,1
841,What's Causing The Growing Mental Health Crisis Among US Teens?,1,0,0,1,1
842,Biden Reflects on First Year at Press Conference,0,1,0,1,1
843,More Than 5 Million Americans Missed Second Vaccine Dose,1,0,0,1,1
844,Tokyo Olympics Organizers Ban Foreign Spectators,0,1,0,1,1
845,Outgoing Kentucky Gov. Bevin Pardons 428 Criminals on Last Day,0,1,0,1,1
846,How Did the Ebola Breach Happen,1,0,0,1,1
847,International Workers Celebrate May Day Amid Ongoing US Union Battles,0,1,0,1,1
848,Perspectives: Canceling Cancel Culture,1,0,0,1,1
849,"New US Sanctions Target Russian Oligarchs, Energy Companies",1,0,0,1,1
850,Media Coverage of Jobs Report Tweet,0,1,0,1,1
851,Uncertainty Surrounds Virus Relief Negotiations,1,0,0,1,1
852,GOP Lawmakers Move To Impeach Deputy Attorney General Rosenstein,0,1,0,1,1
853,VP Debate,0,1,0,1,1
855,Poll Says 55% of Americans Disapprove of Media's Coronavirus Response,1,0,0,1,1
