headline,source,label
Facebook defends not pulling controversial video of Pelosi,Fox News (Online News),right
"Distorted Videos of Nancy Pelosi Spread on Facebook and Twitter, Helped by Trump",New York Times (News),left
US has helped Ukraine target Russian generals: report,The Hill,center
US intelligence helping Ukraine kill Russian generals: Report,Washington Examiner,right
"U.S. Intelligence Is Helping Ukraine Kill Russian Generals, Officials Say",New York Times (News),left
Appeals court rejects bid to quickly reinstate travel ban as Trump administration copes with first big setback,Los Angeles Times,left
Appeals court denies Trump request to immediately restore travel ban,USA TODAY,left
Pence: Will use 'all legal means at our disposal' to reinstate immigration ban,Fox News (Online News),right
Gov. Newsom mandates vaccines for all eligible Calif. students in first-of-its-kind order,New York Post (News),right
"Newsom orders COVID vaccines for eligible students, the first K-12 school mandate in nation",Los Angeles Times,left
"California will be the first state to require schoolchildren get the COVID-19 vaccine, Gov. Newsom announces",Insider,left
A deal between Ukraine and Russia aims to ease the global food crisis.,New York Times (News),left
"Ukraine, Russia sign separate agreements with Turkey, UN on grain passage through Black Sea",The Kyiv Independent,center
Ukraine grain deal signed: Why it matters,RT,right
Bipartisan Support Grows For 9/11-Style Commission To Probe Capitol Riot,Forbes,center
Trump still might face punishment for Capitol riot even after Senate impeachment acquittal,Fox News (Online News),right
Support grows for Capitol riot inquiry after Trump acquittal,Associated Press Fact Check,left
Facebook Explains What Caused One of Worst Global Outages in Company's History,Townhall,right
Facebook’s Apps Went Down. The World Saw How Much It Runs on Them.,New York Times (News),left
"Facebook, Whatsapp and Instagram back after outage",BBC News,center
Gas Prices Hit Highest Point Since 2014 after Pipeline Hack,National Review,right
Southeast sees gas shortages amid pipeline shutdown,The Hill,center
Gasoline demand spikes in several states after pipeline hack,CNN (Online News),left
GOP's devious immigration trick,Salon,left
Pelosi insists immigration plan include path to citizenship; some House Republicans vow to oppose major reform,CNN (Online News),left
House Republicans face challenge on immigration from Senate colleague,Fox News (Online News),right
Pedestrian Bridge Collapse Death Toll Rises To 6 In Miami-Dade County,NPR (Online News),left
Two companies in FIU bridge construction accused of ‘shoddy’ work in previous collapses,Washington Times,right
Fallen bridge: 'Stress test' preceded collapse that killed 6,ABC News (Online),left
Barack Obama Launches ‘Redistricting U’ Campaign for ‘Fair Maps’,Breitbart News,right
Obama announces new effort in fight against gerrymandering,CNN (Online News),left
'Fair maps': Barack Obama launches new initiative to help take on partisan gerrymandering,USA TODAY,left
Courts Should Not Defer to Trump’s National-Security Pretext,National Review,right
What is a national emergency? Can Trump declare one for the wall?,Al Jazeera,left
4 winners and 4 losers from the funding bill and emergency declaration,Vox,left
Facebook is tweaking Trending Topics to counter charges of bias,CNBC,center
Facebook admits rogue employees may have shown bias against conservatives,Washington Times,right
"Facebook: No evidence of systematic political bias, making changes",CBS News (Online),left
US nuclear chief would resist 'illegal' presidential strike order,BBC News,center
Top General Says He Would Reject An ‘Illegal’ Nuclear Strike Order From Trump,HuffPost,left
Top Commander: I'd Decline 'Illegal' Nuclear Order From Trump,Newsmax (News),right
Trump administration sets 'new bar' for immigrants seeking asylum,Reuters,center
Trump administration moves to end protections for Central American asylum seekers,CBS News (Online),left
Trump Ending Asylum Protections for Central Americans,Newsmax (News),right
Netflix's 'Cuties' Director Defends Film Amid Cancel Calls,Newsmax (News),right
‘#CancelNetflix’: Streaming Service Faces New Calls For Boycott After ‘Cuties’ Scene Sexualizing Children Goes Viral,Mediaite,left
State attorneys general ask Netflix to pull controversial 'Cuties' as director defends 'feminist' film,USA TODAY,left
Trump threatens to close border 'next week' if Mexico doesn't 'immediately stop' flood of illegal immigrants,Fox News (Online News),right
Trump adds a deadline on his threat to close the border,CNN (Online News),left
Trump Threatens to Close Border If Mexico Doesn’t Stop Illegal Entries,Wall Street Journal (News),center
Ted Cruz’s Judgment Day,Politico,left
Trump eyes Super Tuesday landslide as Republicans beg voters to back away,Washington Times,right
"Super Tuesday: Voters head to the polls, but not all are pleased by the choices",Washington Post,left
Lawmakers want probe of Petraeus investigation,Washington Post,left
House majority leader knew of Petraeus matter in October,CNN (Online News),left
Petraeus mistress may have revealed classified information at Denver speech on real reason for Libya attack,Fox News (Online News),right
Humana To Pull Out Of Obamacare Exchanges for 2018,National Review,right
White House Proposes New Rules to Steady Insurance Markets Under Health Law,New York Times (News),left
Humana becomes first major insurer to quit Obamacare exchanges,Politico,left
Trump wields first presidential veto to nix border emergency rebuff,Fox News (Online News),right
Trump Vetoes Congressional Disapproval of Emergency Declaration,Wall Street Journal (News),center
Trump issues first veto of his presidency over emergency declaration for border wall,Washington Post,left
Hundreds of graves found in liberated Izyum city - officials,BBC News,center
Zelensky says 'mass burial sites' found in recently liberated city,Washington Examiner,right
"Ukraine combs mass burial site, says signs of torture found",Associated Press,left
Biden says Putin's nuclear threat brings risk of 'Armageddon',Reuters,center
Biden Says World Faces ‘Prospect of Armageddon’ Over Putin’s Alleged Threat to Use Nuclear Weapons,The Epoch Times,right
"Biden says risk of ""Armageddon"" highest since Cuban Missile Crisis as tensions rise with Russia",CBS News (Online),left
Presumptive Nominee? Trump Indiana Win Creates Big Challenge to Unite Party,CBN,right
Donald Trump's Indiana win raises unsettling questions for GOP,Christian Science Monitor,center
Victory for Trump has some in GOP Bolting,New York Times (News),left
"In sprint to November, Democrats seize on shifting landscape over abortion",Washington Post,left
The five issues that will decide the midterm elections,The Hill,center
White House Makes Last-Ditch Effort To Salvage Biden’s Economic Record Ahead Of Midterms,The Daily Caller,right
"Trump issues executive order against TikTok parent, effective in 45 days",Washington Post,left
Senate Votes to Ban TikTok on Government-Issued Phones,Wall Street Journal (News),center
Trump Issues Ban on Transactions With TikTok's Chinese Owner,Newsmax (News),right
4 states announce they're dropping mask mandates for schools,NPR (Online News),left
New Jersey Dem Governor Ends School Mask Mandates,Washington Free Beacon,right
"As states plan to lift school mask mandates, CDC remains vague on updating its guidance",CNN (Online News),left
"CDC Is Considering Mask Mandates For Vaccinated Americans, Fauci Says",The Daily Caller,right
Fauci: 'We're going in the wrong direction' on Covid-19 cases,CNN (Online News),left
"Fauci: New masking guidelines for vaccinated Americans under ""active consideration""",Axios,center
"Escalating conflict with Trump, Mike Pence endorses Karrin Taylor Robson for Arizona governor",AZ Central,center
Mike Pence endorses GOP rival of Trump-backed candidate for Arizona governor,Washington Times,right
Pence endorses Robson for Arizona governor in split from Trump,NBC News (Online),left
Sacklers transferred $1 billion as scrutiny from opioid crisis grew: New York AG,ABC News (Online),left
Purdue Pharma's Sackler family used hidden accounts to transfer $1B: court docs,Fox News (Online News),right
NY AG uncovers $1 billion in Sackler family wire transfers amid opioid probe: report,The Hill,center
Bezos slams Biden's call for gasoline stations to cut prices,Reuters,center
US energy producers roast Biden for demanding 'companies running gas stations' lower pump prices,Fox Business,right
"White House hits back at Jeff Bezos, saying it's 'not surprising' he thinks oil and gas companies should 'reap record profits at the expense of the American people'",Insider,left
Trump slams John Kerry for 'shadow diplomacy' on Iran deal,The Hill,center
Trump castigates Kerry for ‘Shadow Diplomacy’ to save Iran nuclear deal,Washington Post,left
Where’s the Outrage over Kerry’s Collusion with Iran?,National Review,right
"U.S. Strikes Al-Shabab In Somalia, 6 Militants Killed",HuffPost,left
US attempts to kill Al Shabab leader in Somalia,Christian Science Monitor,center
US reportedly targets leader of al-Shabaab with Somalia drone strike,Fox News (Online News),right
Air Force leaders order probe of Trump resort stays,Politico,left
Air Force to review international travel expenses following concerns raised about Trump resort,USA TODAY,left
Air Force orders review of stays at Trump resorts,Washington Examiner,right
Trump commits to helping blue states fight the coronavirus — if their governors are nice to him,Vox,left
Flatter or fight? Governors seeking help must navigate Trump,Associated Press,left
Cuomo slams $2T stimulus package as ‘terrible’ for New York,New York Post (News),right
"In a big week for Biden, the push for his $1.9 trillion stimulus plan is on the brink of success",New York Times (News),left
Frustrated progressives on relief package: 'We'll take the win',The Hill,center
Biden poised for major Hill victory but faces some flashing red lights,Fox News (Online News),right
Comey Memos Leaked — Here’s What They Say,The Daily Caller,right
OPINION: Comey memos renew questions over Trump's behavior,CNN (Online News),left
Comey memos detailing conversations of Trump meetings published,BBC News,center
2021 was a transformative year in US politics. Here are the biggest stories.,CNN (Online News),left
The mainstream media's top 10 missteps in 2021,Fox News (Online News),right
"Amid ongoing threats, democracy reform forges ahead in 2021",The Fulcrum,center
Libertarian Candidates Pitch Themselves As Antidote To Partisanship,NPR (Online News),left
"Can Gary Johnson, the Libertarian Nominee, Swing the Election?",New York Times (News),left
How Gary Johnson/William Weld CNN Town Hall Was a Disappointment in Libertarian Terms,Reason,right
Trump clings to false election claims at Arizona rally,Politico,left
"Trump hails Arizona Senate for audit at Phoenix rally, slams governor",The Hill,center
Trump slams Critical Race Theory as ‘flagrant racism’ that has ‘no place’ in our country,Fox News (Online News),right
"Trump's first foreign trip: Scheduled stops in Saudi Arabia, Israel and beyond",Fox News (Online News),right
5 things to watch on Trump’s foreign trip,Politico,left
"Seeking A New Narrative, Trump Heads To Middle East And Europe",HuffPost,left
President Trump considers revoking security clearances for former U.S. officials,USA TODAY,left
Trump wants to strip security clearances from Obama intel officials,New York Post (News),right
White House says Trump wants to revoke security clearances for former officials critical of him over Russia,Washington Post,left
"Russia, Ukraine trade claims of nuclear plant attacks",Associated Press,left
"Russian rockets hit cities near Ukraine nuclear plant, raising fears of catastrophe",New York Post (News),right
"Ukraine on edge after Zaporizhzhia nuclear plant, region's towns shelled",Reuters,center
"Climate Change Is Already Here, Says Massive Government Report",HuffPost,left
"Climate Change Is Harming U.S. Economy, Report Says",Wall Street Journal (News),center
"Administration issues dire climate change report, amid regulatory push",Fox News (Online News),right
Trump blocks US investment in firms linked to Chinese military,Al Jazeera,left
Trump Bars Americans From Investing in Firms That Help China’s Military,Wall Street Journal (News),center
Trump Issues Order to End Investments in Chinese Military Companies,The Epoch Times,right
"In stirring speech, Pete Buttigieg makes history again for LGBTQ Americans as first gay cabinet nominee",USA TODAY,left
"Media Claim Pete Buttigieg Appointment Would Make Him First Openly Gay Cabinet Member, Forget Richard Grenell",The Daily Wire,right
'Cabinet of firsts': Joe Biden touts Pete Buttigieg's historic nomination,NBC News (Online),left
Shakeup at TSA after airport screening failures,CBS News (Online),left
"TSA screeners failed tests to detect explosives, weapons",CNN (Online News),left
Acting TSA head reassigned after watchdog report reveals airport security failings,Fox News (Online News),right
"Clinton campaign, DNC paid for research that led to Russia dossier",Washington Post,left
Clinton team and Democrats 'bankrolled' Trump dirty dossier,BBC News,center
"The Russia Dossier Story: A Perfect Storm of Clinton Deception, Media Irresponsibility, and Democratic Moral Blindness",National Review,right
Wendy Davis admits to fuzzy facts in bio,Washington Post,left
Report: Wendy Davis' life story more complicated than compelling narrative,CNN (Online News),left
"Wendy Davis Exaggerates Success Story: ""I Need to Focus More on Details""",Townhall,right
"Trump’s lawyer sends cease-and-desist letter to ‘Fire and Fury’ book publisher, author",Washington Times,right
Trump Bannon row: Lawyers seek to halt book's release,BBC News,center
Trump lawyer seeks to block insider book on White House,Washington Post,left
Ukraine fears Russian false-flag attack at nuclear power plant: report,New York Post (News),right
Russia rejects call to demilitarise Zaporizhzhia nuclear plant area,BBC News,center
Russian vehicles seen inside turbine hall at Ukraine nuclear plant,CNN (Online News),left
Over half of U.S. workers may be ‘quiet quitting’—and it’s been that way for decades,Fortune,center
Forget quiet quitting: Workers say they're acting their wage,Insider,left
"Half Of Americans ‘Quiet Quitting,’ Poll Finds",The Daily Caller,right
Federal judge rules part of Texas' new abortion law is unconstitutional,Fox News (Online News),right
Judge blocks Texas abortion restrictions,Politico,left
Texas Abortion Restrictions Declared Unconstitutional By Federal Judge,HuffPost,left
Florida Gov. Ron DeSantis signs bill that would strip schools of funding for imposing a mask mandate for students,Insider,left
Florida Gov. Ron DeSantis says parents should decide if their children wear masks to school,NBC News (Online),left
DeSantis to prohibit schools from forcing children to mask up,The Post Millennial,right
Trump Administration to Crack Down on Visa Applicants Who Would Rely on Public Services,National Review,right
White House: New immigration policy meant to promote 'self-sufficiency and personal responsibility',The Hill,center
The Trump Administration Just Made It Harder To Apply For Green Cards And Visas,HuffPost,left
Mueller's grand jury: What it means,The Hill,center
"Grand jury bombshell rocks media, but calm down: This is what prosecutors do",Fox News (Online News),right
The Trump-Russia investigation is headed to a grand jury,Vox,left
Obama Gets Boehner’s Support in ‘Call to Action’ Against Syria,Bloomberg,left
"Boehner, Cantor back Obama on force against Syria",USA TODAY,left
House Speaker Backs Obama’s Call for Strike Against Syria,New York Times (News),left
Biden Maintains Deadline for Afghan Pullout as Taliban Block Airport Access,Wall Street Journal (News),center
Biden keeps to Kabul Aug. 31 deadline despite criticism,Associated Press Fact Check,left
Biden Decides to Stick to August 31 Withdrawal Deadline amid Taliban Threats,National Review,right
Republican Defections May Have Just Ended Herman Cain's Federal Reserve Nomination,Townhall,right
Cain's Fed chances in peril as fourth Republican opposes Trump pick,Reuters,center
Herman Cain’s Fed Chances Dim Amid Republican Senate Opposition,New York Times (News),left
Obama on Fox: Hillary Has Owned Up to Her Email 'Carelessness',Townhall,right
Obama 'guarantees' he will not interfere with Clinton email investigation,CNN (Online News),left
Obama: Clinton’s Email Server Did Not Jeopardize National Security,HuffPost,left
"The U.S. economy added 4.8 million jobs in June, but fierce new headwinds have emerged",Washington Post,left
"Economy adds 4.8 million jobs in June, surpassing expectations as coronavirus lingers",The Hill,center
"Economy added 4.8M jobs in June, before surge in coronavirus infections",Washington Examiner,right
Russia extends arrest of US basketball star over drugs charge,BBC News,center
"WNBA star Brittney Griner’s detention in Russia extended until May 19, Russian state news reports",Washington Post,left
WNBA star Brittney Griner will be detained in Russia another two months,New York Post (News),right
CIA Director William Burns held secret meeting in Kabul with Taliban leader Abdul Ghani Baradar,Washington Post,left
CIA director meets Taliban leader in highest-level Afghanistan talks yet,Washington Examiner,right
CIA head meets Taliban leader as fears for Afghanistan grow,Associated Press,left
Supreme Court Deadlocks on Obama Immigration Plan.,New York Times (News),left
"Supreme Court deadlocks, dooming Obama deportation amnesty",Washington Times,right
Supreme Court blocks Obama immigration actions,The Hill,center
House Democrats unveil changes to border bill to win over progressives,The Hill,center
Emergency Aid for Migrants Badly Divides Democrats,New York Times (News),left
Dems rewrite border bill to try to assuage liberals,Washington Times,right
JD Vance: Trump-backed contender clinches Ohio Senate race,BBC News,center
"J.D. Vance, Trump's Pick In Ohio, Wins GOP Senate Primary",HuffPost,left
Trump-Backed Candidates Win Big In Ohio Primaries,The Daily Caller,right
"Trump begins first week reaching out to Congress, world leaders",CBS News (Online),left
Trump goes to work,CNN (Online News),left
President Donald Trump’s Big First Week,Breitbart News,right
Daily COVID Cases in U.S. Drop Below 100K as Vaccine Distribution Picks up Speed,CBN,right
Average US virus cases dip below 100K for 1st time in months,Associated Press,left
"It’s still too soon to ease up on mask use, says CDC Director Dr. Rochelle Walensky",New York Daily News,left
Should Biden Run in 2024? Democratic Whispers of ‘No’ Start to Rise.,New York Times (News),left
White House reiterates Biden's plan to run for re-election in 2024,Axios,center
We Asked All 50 Democratic Senators If They Would Endorse Biden In 2024. Only 5 Said ‘Yes’,The Daily Caller,right
White House shines light on Republicans who are criticizing student debt cancellation after getting their PPP loans forgiven,NBC News (Online),left
"White House Twitter Blasts Greene, Gaetz and Kelly on Forgiven PPP Loans",Newsweek,center
Republicans launch ad blitz hammering Biden on student loan forgiveness program,Washington Examiner,right
Biden says Armenian mass killing was genocide,BBC News,center
Biden becomes first US president to recognise Armenian genocide,The Guardian,left
Biden Recognizes Armenian Genocide,National Review,right
The ways Joe Biden or Donald Trump would get 270 electoral votes and the White House,CNBC,center
"Trump’s Path, Updated",National Review,right
Does Biden Need Pennsylvania to Win? The Alternative Election Path to 270,Newsweek,center
Supreme Court Will Consider First Of Two Abortion Laws Monday,The Daily Wire,right
Novel Texas abortion case is back at the Supreme Court,NPR (Online News),left
Supreme Court hears arguments on restrictive Texas abortion law,NBC News (Online),left
"ISIS Has Committed Genocide, Obama Administration Declares",ABC News (Online),left
John Kerry: ISIS responsible for genocide,CNN (Online News),left
"Kerry Determines That Islamic State Is Committing Genocide Against Christians, Yazidis and Shiite Groups",The Blaze,right
An Important Voice for Free Trade Proponents Goes Silent,New York Times (News),left
U.S. Stocks Fall as Gary Cohn’s Exit Adds to Trade Concerns,Wall Street Journal (News),center
Gary Cohn resigning as Trump’s top economic adviser,Washington Times,right
North Korea reopens hotline to South to discuss Olympics,BBC News,center
OPINION: Kim Jong Un pitting South Korea against US by re-establishing talks,Guest Writer - Left,left
"As Trump Taunts Kim, NKorea Speaks With Seoul Over Hotline",Newsmax (News),right
Ukraine: Photos show undercover Russian troops,CNN (Online News),left
Photos Link Masked Men in East Ukraine to Russia,New York Times (News),left
"Ukraine claims Russian military, intelligence behind eastern unrest",Fox News (Online News),right
U.K. judge rules Julian Assange should not be extradited to the U.S.,Axios,center
"WikiLeaks' Julian Assange cannot be extradited to the U.S. to face espionage charges, U.K. court rules",NBC News (Online),left
"WikiLeaks’ Julian Assange shouldn’t be extradited to US, UK judge rules",New York Post (News),right
"DHS begs for help, orders full review after second migrant child's death",Washington Times,right
"The final days of Felipe Alonzo-Gomez, the 8-year-old migrant who died in US custody",CNN (Online News),left
Medical checks ordered for all kids held in US custody after death of 2nd immigrant child this month,USA TODAY,left
White House Confirms US Citizen Released from North Korea,Newsmax (News),right
"One American released from North Korea, two remain",Washington Post,left
North Korea releases one of three Americans held captive,USA TODAY,left
"Sinema, McConnell engage in mutual admiration — and some Democrats seethe",Washington Post,left
Sinema in speech at McConnell Center says 60-vote Senate threshold should be restored,The Hill,center
Sinema says she supports reinstating full filibuster,Washington Examiner,right
"Eric Adams Takes Comfortable Lead in NYC Mayoral Primary as Wiley, Garcia Fight for Second Place",National Review,right
"Adams Leads in N.Y.C. Mayoral Primary, but Ranked-Choice Awaits",New York Times (News),left
"Eric Adams is leading, but the race for New York City mayor isn't decided. Here's what we know.",USA TODAY,left
Clinton says she'll decide about 2016 next year,CNN (Online News),left
"Come on, Paul Ryan must be running in 2016, right? Right?",Fox News (Online News),right
Hillary Clinton To Decide On 2016 Run 'Sometime Next Year',HuffPost,left
"DeSantis Tries to Prove Liberals Hate Immigrants As Much As He Does, Fails",Jonathan Chait,left
Sanctuary Cities: Top 3 Pros and Cons,ProCon.org,center
‘Not In My Vineyard!’ Liberals Scream As DeSantis Air Flies On The Wings Of Their Hypocrisy,The Daily Caller,right
Delaying Trump investigation risks 'harm to our national security': DOJ and top intelligence officials,Washington Examiner,right
DOJ appeals judge's special master ruling in Trump case,Axios,center
Justice Dept. Asks Judge to Lift Block on Trump Documents Investigation,New York Times (News),left
Schumer tees up vote to codify same-sex marriage into law after bipartisan agreement,Washington Times,right
The Senate could vote on a revised marriage equality bill this week,LGBTQ Nation,left
Senators set to vote on bill to codify Supreme Court’s same-sex marriage protections,The Hill,center
Trump presents 'fake news' awards for 10 stories — some of which really were false,USA TODAY,left
President Trump reveals winners of his ‘Fake News’ awards,Fox News (Online News),right
"Trump Hands Out ‘Fake News Awards,’ Sans the Red Carpet",New York Times (News),left
Newsom challenges DeSantis to debate after migrants sent to Massachusetts,Axios,center
Gavin Newsom challenges Ron DeSantis to debate: 'Name the time',Fox News (Online News),right
Gov. Gavin Newsom says Florida Gov. Ron DeSantis using migrants as 'pawns',CBS News (Online),left
"US job growth moderates in August with 315,000 added while unemployment edges higher",Fox Business,right
"Payrolls rose 315,000 in August as companies keep up hiring pace",CNBC,center
"Labor market added 315,000 jobs in August, a bright spot in the economy",Washington Post,left
Fauci Clashes With Rand Paul Again: ‘You Are Saying Things That Are Not Correct!’,Daily Beast,left
Fauci and Rand Paul clash over NIH funding for Wuhan Institute of Virology,Axios,center
"Fauci is hiding past work on 'super-viruses that jump from animals to humans,' Rand Paul claims",Washington Times,right
Pelosi could pick up Republican support in quest for speaker’s gavel,Fox News (Online News),right
The Nancy Pelosi speaker debate is a proxy for the war over the future of the Democratic Party,Washington Post,left
Pelosi vows to become U.S. House speaker despite opposition,Reuters,center
Swiss authorities investigating World Cup votes following arrests of 7 FIFA officials in US corruption case,Fox News (Online News),right
Top FIFA Officials Arrested In Switzerland On U.S. Corruption Charges,NPR (Online News),left
FIFA Officials Arrested And Indicted For Corruption,HuffPost,left
Justin Trudeau blames privileged upbringing for wearing blackface as new video as third racist incident emerges,Fox News (Online News),right
"Justin Trudeau apologizes again, blames 'privilege' as third blackface instance emerges. Here's what we know",USA TODAY,left
Justin Trudeau says he does not know how many times he's worn blackface in his life,CNN (Online News),left
Stephen Miller says Trump is “absolutely” willing to shut down the government over border wall funding,Vox,left
Americans' message to Washington on the looming shutdown: Don't,USA TODAY,left
Dems defy Trump shutdown threat: 'He is not going to get the wall in any form',Washington Times,right
"Michael Cohen, Trump’s Former Lawyer, Sentenced to Three Years in Prison",Wall Street Journal (News),center
"Michael Cohen, former Trump attorney, gets 3 years in prison for tax fraud, campaign finance violations, lying",Fox News (Online News),right
"Cohen gets 3 years, says Trump's 'dirty deeds' led him to 'choose darkness'",NBC News (Online),left
A Christmas gift: Stories of bridges across the divide,Washington Post,left
Urbi et Orbi: Pope calls for peace for Jerusalem,BBC News,center
President Trump Calls U.S. Troops Around the World to Wish Them a Merry Christmas,Townhall,right
Political Polarization in the American Public,Pew Research Center,center
"Polarization Is Dividing American Society, Not Just Politics",New York Times (News),left
Democrats Are Misguided. That Doesn't Mean I Hate Them.,Ramesh Ponnuru,right
OPINION: Will The Reopening Of Hillary's Email Case Matter?,Guest Writer - Right,right
FBI drama injects uncertainty into frantic final week of race,The Hill,center
Will the Comey Bombshell Really Shake up the 2016 Race?,NBC News (Online),left
Obama downplays alleged diplomatic snub by China,USA TODAY,left
"U.S., China Formally Join Paris Climate Pact",HuffPost,left
"Tense exchanges in China between US, Chinese officials mark Obama’s arrival at G20 summit",Fox News (Online News),right
Tom Coburn: Botched executions rare,Politico,left
Botched Oklahoma execution: Did anyone remember Clayton Lockett's victim?,Fox News (Online News),right
Opposition to death penalty leaves states winging it on executions - and Oklahoma shows what can go wrong,Washington Post,left
CIA director apologizes to Senate leaders,Fox News (Online News),right
Investigation Finds CIA Improperly Accessed Senate Computers,Wall Street Journal (News),center
C.I.A. Admits Penetrating Senate Intelligence Computers,New York Times (News),left
Former aide: Trump was told protesters had weapons on Jan. 6,Associated Press Fact Check,left
Trump calls Jan. 6 committee’s star witness a ‘phony’ who asked him for a job,Washington Times,right
Hutchinson says Trump knew Jan. 6 attendees had weapons: ‘They’re not here to hurt me’,The Hill,center
Europe condemns the U.S. travel ban as more nations add restrictions.,New York Times (News),left
Trump restricts travel from Europe to fight spread of coronavirus,The Hill,center
Trump says he will ban all travel from Europe for 30 days,Washington Examiner,right
Bernie Sanders Vows To Fight ‘All Forms Of Racism’ In First Televised Town Hall,HuffPost,left
"Bernie Sanders defines 'democratic socialism,' says living wage and free college are 'human rights'",Washington Times,right
Sanders says he would 'bring a lie detector' to debate with Trump,The Hill,center
"Post-ABC Tracking Poll: Trump 46, Clinton 45, as Democratic enthusiasm dips",Washington Post,left
Poll shows Trump made up 13 points in under 2 weeks — now he likes polls again,USA TODAY,left
ABC News/Washington Post Tracking Poll: Donald Trump Leading Hillary Clinton,Breitbart News,right
Supreme Court to Rule on Obama’s Bid to Block Deportations,Wall Street Journal (News),center
Supreme Court Will Hear Executive Amnesty Appeal,Breitbart News,right
Supreme Court Will Rule On Obama's Immigration Policy Before 2016 Election,HuffPost,left
Retired Gen. Don Bolduc Wins Senate GOP Primary in New Hampshire,Newsmax (News),right
Republican who backs Trump’s big lie set to win New Hampshire Senate primary,The Guardian,left
Chuck Morse concedes to far-right candidate Bolduc in New Hampshire Senate primary to face Hassan,The Hill,center
France’s Emmanuel Macron Wins Second Term in Presidential Election,Wall Street Journal (News),center
French Election Projections: Globalist Macron Wins Despite Big Drop In Support,Breitbart News,right
"French President Emmanuel Macron Wins Re-Election, Surviving a Far-Right Challenge From Marine Le Pen",Time Magazine,left
Korean leaders meet in surprise summit,BBC News,center
What comes next for Trump and North Korea?,Washington Examiner,right
Keeping Summit Hopes Alive Suggests Kim Jong-un May Need a Deal,New York Times (News),left
Bob Woodward says he was threatened by White House,CNN (Online News),left
White House denies staffer threatened Watergate journalist Woodward,Fox News (Online News),right
"Exclusive: The Woodward, Sperling emails revealed",Politico,left
Senate Democrats press vote to save Obama-era net neutrality rules,Washington Times,right
Congress Can Still Save the Internet—but the Clock Is Ticking,Daily Beast,left
Senate Dems move to force net neutrality vote,The Hill,center
Wray sees 'parallels' between challenge posed by ransomware attacks and 9/11,CNN (Online News),left
DOJ to treat ransomware attacks with similar priority as terrorism,Axios,center
‘There are a lot of parallels’: FBI Director Wray compares ransomware threat to 9/11,New York Post (News),right
U.S. states sue to block Trump Obamacare subsidies cut,Reuters,center
18 states sue Trump administration over halted Obamacare subsidies,Salon,left
Democratic AGs sue Trump over ObamaCare subsidy cutoff,Fox News (Online News),right
Trump stirs the pot on Nancy Pelosi: 'I certainly hope' Democrats don't force her out,USA TODAY,left
"Pelosi's party begins to turn on her after defeats, stagnation",Fox News (Online News),right
"‘I’m worth the trouble, quite frankly’: A defiant Nancy Pelosi dismisses her critics",Washington Post,left
US to share AstraZeneca shots with world after safety check,Associated Press,left
US to share up to 60m vaccine doses amid pressure to lead global virus fight,The Guardian,left
U.S. To Give 60 Million Doses Of AstraZeneca Vaccine To Other Countries,The Daily Wire,right
Hillary Clinton: fake news puts 'lives at risk',The Guardian,left
Clinton blasts 'epidemic' of fake news,The Hill,center
Clinton decries fake news in first speech since election loss,Fox News (Online News),right
Donald Trump Says His Son Is An ‘Innocent’ Victim Of ‘Witch Hunt’,HuffPost,left
"Trump tweets defense of Donald Trump Jr., blasts 'Fake Media'",Fox News (Online News),right
"Morning After Email Release, Trump Declares Son’s Innocence, Attacks News Media",Wall Street Journal (News),center
ObamaCare signups return with improved website but more challenges to the health care law,Fox News (Online News),right
HealthCare.gov Opens for Second Year of Enrollments,Wall Street Journal (News),center
Second Sign-Up Period For Obamacare Opens With Hopes And Fears,HuffPost,left
‘Significant Milestone’: Starbucks Joins the Anti-Straw Craze,The Daily Caller,right
"Starbucks: Goodbye, Plastic Straws",NPR (Online News),left
"Why Starbucks, Seattle, and Tom Brady are all shunning plastic straws",Vox,left
Obama to Romney: 'We won't be apologizing',Fox News (Online News),right
Team Obama: No retreat on Bain,Politico,left
John Boehner To Bring Up Clean Debt-Ceiling Vote,HuffPost,left
No debt ceiling crisis? Obama economic adviser sees investment boon.,Christian Science Monitor,center
Confirmed: Boehner's Debt Limit Plan Raises Spending,Townhall,right
'Simple Common Sense': Jeh Johnson Defends Executive Action on Immigration,NBC News (Online),left
Boehner makes sales pitch to GOP,Politico,left
Obama's Executive Amnesty Center Stage at House Hearing Tuesday,Townhall,right
"John Boehner's 'Plan B' Fiscal Cliff Proposal Panned By White House, Cautiously Backed By Republicans",NBC News (Online),left
Boehner proposes short-term tax fix; Democrats say no,CNN (Online News),left
White House rejects Boehner 'Plan B' with threat of tax hikes looming,Fox News (Online News),right
Here’s Why Justice Thomas Didn’t Mention Interracial Marriage When He Asked the Court to Rethink Several Cases After Overturning Roe v. Wade,Law & Crime,center
The never-repealed laws banning same-sex marriage & sodomy are now a ticking time bomb,John Gallagher,left
"No, contraception and same-sex marriage are not on the chopping block",Tiana Lowe,right
White House threat assessment: Climate change as dangerous as terrororism,Washington Times,right
Obama's National Security Strategy Lists Climate Change Among 'Top Strategic Risks' To U.S.,HuffPost,left
U.N. group reports that 2014 was Earth's warmest year,USA TODAY,left
Alzheimer’s drug shows promise in early results of study,Associated Press,left
Another prospect for an Alzheimer's drug renews cost concerns,Axios,center
New Alzheimer’s drug slows disease in major clinical trial: ‘Blockbuster potential’,New York Post (News),right
